,pc_guess_fem_1,pc_guess_unknown_1,pc_detect_fem_1,pc_detect_unknown_1pc_guess_fem_3,pc_guess_unknown_3,pc_detect_fem_3,pc_detect_unknown_3,pc_guess_fem_5,pc_guess_unknown_5,pc_detect_fem_5,pc_detect_unknown_5,pc_guess_fem_10,pc_guess_unknown_10,pc_detect_fem_10,pc_detect_unknown_10,pc_detect_unknown_1,pc_guess_fem_3,pc_detect_fem_10_upper,pc_detect_fem_10_lower,pc_guess_fem_10_upper,pc_guess_fem_10_lower
1976,0.25806451612903225,0.1388888888888889,0.25806451612903225,,0.13829787234042554,0.25925925925925924,0.13829787234042554,0.21641791044776118,0.12418300653594772,0.22764227642276422,0.19607843137254902,0.19213973799126638,0.12260536398467432,0.2037914691943128,0.19157088122605365,0.1388888888888889,0.2345679012345679,0.2516841895008262,0.15589874888779937,0.22279107898743497,0.1614883969950978
1975,0.21739130434782608,0.14814814814814814,0.2608695652173913,,0.12087912087912088,0.20270270270270271,0.18681318681318682,0.1935483870967742,0.11428571428571428,0.21621621621621623,0.20714285714285716,0.1889400921658986,0.11788617886178862,0.19387755102040816,0.2032520325203252,0.14814814814814814,0.2,0.24469055915048946,0.14306454289032686,0.21841163688134577,0.15946854745045144
1974,0.2222222222222222,0.12903225806451613,0.25925925925925924,,0.1111111111111111,0.2028985507246377,0.23333333333333334,0.17355371900826447,0.11029411764705882,0.19047619047619047,0.22794117647058823,0.19718309859154928,0.11983471074380166,0.19047619047619047,0.2190082644628099,0.12903225806451613,0.2,0.24522825659189296,0.13572412436048797,0.2271417762774997,0.16722442090559886
1973,0.16666666666666666,0.09090909090909091,0.08333333333333333,,0.0975609756097561,0.18032786885245902,0.25609756097560976,0.1504424778761062,0.12403100775193798,0.15463917525773196,0.24806201550387597,0.2,0.11894273127753303,0.1781609195402299,0.23348017621145375,0.2727272727272727,0.17567567567567569,0.23653096359309334,0.11979087548736644,0.22973568281938328,0.17026431718061674
1972,0.21739130434782608,0.11538461538461539,0.2777777777777778,,0.1111111111111111,0.2037037037037037,0.25,0.1568627450980392,0.1282051282051282,0.17582417582417584,0.2222222222222222,0.21348314606741572,0.13170731707317074,0.1858974358974359,0.23902439024390243,0.3076923076923077,0.15625,0.2456535334584115,0.1261413383364603,0.2464099753357084,0.18055631679912304
1971,0.14285714285714285,0.08695652173913043,0.21052631578947367,,0.14285714285714285,0.14545454545454545,0.21428571428571427,0.15789473684210525,0.12037037037037036,0.17045454545454544,0.18518518518518517,0.18857142857142858,0.12060301507537688,0.15384615384615385,0.21608040201005024,0.17391304347826086,0.11666666666666667,0.2078662543486664,0.0998260533436413,0.2187221823402728,0.15842067480258437
1970,0.1,0.13043478260869565,0.11764705882352941,,0.14705882352941177,0.12962962962962962,0.20588235294117646,0.1827956989247312,0.12264150943396226,0.16470588235294117,0.19811320754716982,0.20958083832335328,0.12105263157894737,0.16666666666666666,0.21052631578947367,0.2608695652173913,0.13793103448275862,0.21929824561403508,0.11403508771929824,0.23984399621809013,0.17931768042861643
1969,0.10526315789473684,0.20833333333333334,0.10526315789473684,,0.12903225806451613,0.17307692307692307,0.16129032258064516,0.22826086956521738,0.1320754716981132,0.19047619047619047,0.20754716981132076,0.22727272727272727,0.12,0.17266187050359713,0.2057142857142857,0.20833333333333334,0.18518518518518517,0.22409044193216857,0.1212332990750257,0.25727272727272726,0.19727272727272727
1968,0.21052631578947367,0.09523809523809523,0.16666666666666666,,0.0847457627118644,0.20408163265306123,0.1694915254237288,0.26436781609195403,0.11224489795918367,0.2077922077922078,0.21428571428571427,0.2465753424657534,0.10429447852760736,0.1875,0.2147239263803681,0.14285714285714285,0.24074074074074073,0.24118098159509202,0.13381901840490798,0.27264896209765527,0.22050172283385158
1967,0.25,0.058823529411764705,0.26666666666666666,,0.11475409836065574,0.23404255319148937,0.22950819672131148,0.2894736842105263,0.13636363636363635,0.2,0.26136363636363635,0.2556390977443609,0.11333333333333333,0.19658119658119658,0.22,0.11764705882352941,0.2777777777777778,0.2515811965811966,0.14158119658119658,0.2839724310776942,0.22730576441102757
1966,0.2631578947368421,0.09523809523809523,0.1875,,0.13333333333333333,0.20454545454545456,0.26666666666666666,0.225,0.12087912087912088,0.1323529411764706,0.25274725274725274,0.24031007751937986,0.1103448275862069,0.168141592920354,0.2206896551724138,0.23809523809523808,0.28846153846153844,0.22331400671345744,0.11296917912725055,0.2678962844159316,0.21272387062282813
1965,0.3157894736842105,0.17391304347826086,0.25,,0.18,0.17647058823529413,0.32,0.24324324324324326,0.11904761904761904,0.16923076923076924,0.2261904761904762,0.22033898305084745,0.11278195488721804,0.1523809523809524,0.21052631578947367,0.30434782608695654,0.3170731707317073,0.2050125313283208,0.09974937343358398,0.24853447177265198,0.19214349432904293
1964,0.2857142857142857,0.125,0.16666666666666666,,0.10638297872340426,0.05555555555555555,0.23404255319148937,0.22580645161290322,0.10144927536231885,0.14545454545454545,0.2028985507246377,0.21296296296296297,0.1,0.16326530612244897,0.18333333333333332,0.25,0.16666666666666666,0.2090986394557823,0.11743197278911563,0.23796296296296296,0.18796296296296297
1963,0.375,0.2727272727272727,0.0,,0.08888888888888889,0.13513513513513514,0.17777777777777778,0.22033898305084745,0.09230769230769231,0.1568627450980392,0.2153846153846154,0.22857142857142856,0.08695652173913043,0.1958762886597938,0.1565217391304348,0.45454545454545453,0.1951219512195122,0.2350067234424025,0.15674585387718512,0.2503105590062112,0.20683229813664594
1962,0.0,0.0,0.0,,0.047619047619047616,0.16216216216216217,0.11904761904761904,0.21052631578947367,0.08064516129032258,0.19230769230769232,0.16129032258064516,0.22115384615384615,0.06306306306306306,0.21649484536082475,0.12612612612612611,0.1,0.175,0.2480263768923563,0.1849633138292932,0.23691961191961192,0.20538808038808037
1961,0.38461538461538464,0.07142857142857142,0.38461538461538464,,0.08823529411764706,0.2962962962962963,0.20588235294117646,0.2653061224489796,0.09259259259259259,0.2222222222222222,0.16666666666666666,0.2777777777777778,0.07216494845360824,0.27058823529411763,0.12371134020618557,0.07142857142857142,0.3225806451612903,0.301516070345664,0.23966040024257124,0.29581901489117984,0.25973654066437574
1960,0.2857142857142857,0.125,0.16666666666666666,,0.14285714285714285,0.23809523809523808,0.25,0.18181818181818182,0.10204081632653061,0.125,0.1836734693877551,0.25882352941176473,0.07608695652173914,0.25316455696202533,0.14130434782608695,0.25,0.2916666666666667,0.28849064391854706,0.2178384700055036,0.2778452685421995,0.23980179028132995
1959,0.2727272727272727,0.08333333333333333,0.25,,0.09375,0.15384615384615385,0.1875,0.1956521739130435,0.09803921568627451,0.18604651162790697,0.1568627450980392,0.23,0.05660377358490566,0.23404255319148937,0.11320754716981132,0.3333333333333333,0.20689655172413793,0.2623444399839422,0.20574066639903654,0.24415094339622642,0.2158490566037736
1958,0.3333333333333333,0.25,0.2857142857142857,,0.10344827586206896,0.07692307692307693,0.10344827586206896,0.2391304347826087,0.08,0.2391304347826087,0.08,0.23,0.07407407407407407,0.23958333333333334,0.1111111111111111,0.125,0.11538461538461539,0.2673611111111111,0.21180555555555558,0.24851851851851853,0.2114814814814815
